checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
014,12,032,043,2171.0,061,072,2.0,092,0101,2.0,0123,29.0,0141,0152,1.0,0173,1,0191,0201,1
012,12,032,040,1007.0,064,073,4.0,094,0101,1.0,0121,22.0,0143,0152,1.0,0173,1,0191,0201,1
014,36,032,046,1819.0,061,073,4.0,093,0101,4.0,0124,37.0,0142,0153,1.0,0173,1,0192,0201,2
014,36,032,043,2394.0,065,073,4.0,092,0101,4.0,0123,25.0,0143,0152,1.0,0173,1,0191,0201,1
014,36,032,041,8133.0,061,073,1.0,092,0101,2.0,0122,30.0,0141,0152,1.0,0173,1,0191,0201,1
014,7,034,043,730.0,065,075,4.0,093,0101,2.0,0122,46.0,0143,0151,2.0,0172,1,0192,0201,1
011,8,034,0410,1164.0,061,075,3.0,093,0101,4.0,0124,51.0,0141,0153,2.0,0174,2,0192,0201,1
012,42,034,049,5954.0,061,074,2.0,092,0101,1.0,0121,41.0,0141,0152,2.0,0172,1,0191,0201,1
011,36,032,046,1977.0,065,075,4.0,093,0101,4.0,0124,40.0,0143,0152,1.0,0174,1,0192,0201,2
011,12,034,041,1526.0,061,075,4.0,093,0101,4.0,0124,66.0,0143,0153,2.0,0174,1,0191,0201,1
011,42,032,043,3965.0,061,072,4.0,093,0101,3.0,0123,34.0,0143,0152,1.0,0173,1,0191,0201,2
012,11,033,043,4771.0,061,074,2.0,093,0101,4.0,0122,51.0,0143,0152,1.0,0173,1,0191,0201,1
014,54,030,041,9436.0,065,073,2.0,093,0101,2.0,0122,39.0,0143,0152,1.0,0172,2,0191,0201,1
012,30,032,042,3832.0,061,072,2.0,094,0101,1.0,0122,22.0,0143,0152,1.0,0173,1,0191,0201,1
014,24,032,043,5943.0,065,072,1.0,092,0101,1.0,0123,44.0,0143,0152,2.0,0173,1,0192,0201,2
014,15,032,043,1213.0,063,075,4.0,093,0101,3.0,0122,47.0,0142,0152,1.0,0173,1,0192,0201,1
014,18,032,049,1568.0,062,073,3.0,092,0101,4.0,0122,24.0,0143,0151,1.0,0172,1,0191,0201,1
011,24,032,0410,1755.0,061,075,4.0,092,0103,4.0,0121,58.0,0143,0152,1.0,0172,1,0192,0201,1
011,10,032,043,2315.0,061,075,3.0,093,0101,4.0,0121,52.0,0143,0152,1.0,0172,1,0191,0201,1
014,12,034,049,1412.0,061,073,4.0,092,0103,2.0,0121,29.0,0143,0152,2.0,0174,1,0192,0201,1
012,18,034,042,1295.0,061,072,4.0,092,0101,1.0,0122,27.0,0143,0152,2.0,0173,1,0191,0201,1
012,36,032,046,12612.0,062,073,1.0,093,0101,4.0,0124,47.0,0143,0153,1.0,0173,2,0192,0201,2
011,18,032,040,2249.0,062,074,4.0,093,0101,3.0,0123,30.0,0143,0152,1.0,0174,2,0192,0201,1
011,12,030,045,1108.0,061,074,4.0,093,0101,3.0,0121,28.0,0143,0152,2.0,0173,1,0191,0201,2
014,12,034,043,618.0,061,075,4.0,093,0101,4.0,0121,56.0,0143,0152,1.0,0173,1,0191,0201,1
011,12,034,041,1409.0,061,075,4.0,093,0101,3.0,0121,54.0,0143,0152,1.0,0173,1,0191,0201,1
014,12,034,043,797.0,065,075,4.0,092,0101,3.0,0122,33.0,0141,0152,1.0,0172,2,0191,0201,2
013,24,034,042,3617.0,065,075,4.0,093,0102,4.0,0124,20.0,0143,0151,2.0,0173,1,0191,0201,1
012,12,032,040,1318.0,064,075,4.0,093,0101,4.0,0121,54.0,0143,0152,1.0,0173,1,0192,0201,1
012,54,030,049,15945.0,061,072,3.0,093,0101,4.0,0124,58.0,0143,0151,1.0,0173,1,0192,0201,2
014,12,034,046,2012.0,065,074,4.0,092,0101,2.0,0123,61.0,0143,0152,1.0,0173,1,0191,0201,1
012,18,032,049,2622.0,062,073,4.0,093,0101,4.0,0123,34.0,0143,0152,1.0,0173,1,0191,0201,1
012,36,034,043,2337.0,061,075,4.0,093,0101,4.0,0121,36.0,0143,0152,1.0,0173,1,0191,0201,1
012,20,033,041,7057.0,065,074,3.0,093,0101,4.0,0122,36.0,0141,0151,2.0,0174,2,0192,0201,1
014,24,032,040,1469.0,062,075,4.0,094,0101,4.0,0121,41.0,0143,0151,1.0,0172,1,0191,0201,1
012,36,032,043,2323.0,061,074,4.0,093,0101,4.0,0123,24.0,0143,0151,1.0,0173,1,0191,0201,1
014,6,033,043,932.0,061,073,3.0,092,0101,2.0,0121,24.0,0143,0152,1.0,0173,1,0191,0201,1
012,9,034,042,1919.0,061,074,4.0,093,0101,3.0,0123,35.0,0143,0151,1.0,0173,1,0192,0201,1
014,12,032,041,2445.0,065,072,2.0,094,0101,4.0,0123,26.0,0143,0151,1.0,0173,1,0192,0201,1
012,24,034,0410,11938.0,061,073,2.0,093,0102,3.0,0123,39.0,0143,0152,2.0,0174,2,0192,0201,2
014,18,031,040,6458.0,061,075,2.0,093,0101,4.0,0124,39.0,0141,0152,2.0,0174,2,0192,0201,2
012,12,032,040,6078.0,061,074,2.0,093,0101,2.0,0123,32.0,0143,0152,1.0,0173,1,0191,0201,1
011,24,032,042,7721.0,065,072,1.0,092,0101,2.0,0122,30.0,0143,0152,1.0,0173,1,0192,0202,1
012,14,032,049,1410.0,063,075,1.0,094,0101,2.0,0121,35.0,0143,0152,1.0,0173,1,0192,0201,1
012,6,033,049,1449.0,062,075,1.0,091,0101,2.0,0123,31.0,0141,0152,2.0,0173,2,0191,0201,1
013,15,032,046,392.0,061,072,4.0,092,0101,4.0,0122,23.0,0143,0151,1.0,0173,1,0192,0201,1
012,18,032,040,6260.0,061,074,3.0,093,0101,3.0,0121,28.0,0143,0151,1.0,0172,1,0191,0201,1
014,36,034,040,7855.0,061,073,4.0,092,0101,2.0,0121,25.0,0142,0152,2.0,0173,1,0192,0201,2
011,12,032,043,1680.0,063,075,3.0,094,0101,1.0,0121,35.0,0143,0152,1.0,0173,1,0191,0201,1
014,48,034,043,3578.0,065,075,4.0,093,0101,1.0,0121,47.0,0143,0152,1.0,0173,1,0192,0201,1
011,42,032,043,7174.0,065,074,4.0,092,0101,3.0,0123,30.0,0143,0152,1.0,0174,1,0192,0201,2
011,10,034,042,2132.0,065,072,2.0,092,0102,3.0,0121,27.0,0143,0151,2.0,0173,1,0191,0202,1
011,33,034,042,4281.0,063,073,1.0,092,0101,4.0,0123,23.0,0143,0152,2.0,0173,1,0191,0201,2
012,12,034,040,2366.0,063,074,3.0,091,0101,3.0,0123,36.0,0143,0152,1.0,0174,1,0192,0201,1
011,21,032,043,1835.0,061,073,3.0,092,0101,2.0,0121,25.0,0143,0152,2.0,0173,1,0192,0201,2
014,24,034,041,3868.0,061,075,4.0,092,0101,2.0,0123,41.0,0143,0151,2.0,0174,1,0192,0201,1
014,12,032,042,1768.0,061,073,3.0,093,0101,2.0,0121,24.0,0143,0151,1.0,0172,1,0191,0201,1
013,10,034,040,781.0,061,075,4.0,093,0101,4.0,0124,63.0,0143,0153,2.0,0173,1,0192,0201,1
012,18,032,042,1924.0,065,072,4.0,092,0101,3.0,0121,27.0,0143,0151,1.0,0173,1,0191,0201,2
011,12,034,040,2121.0,061,073,4.0,093,0101,2.0,0122,30.0,0143,0152,2.0,0173,1,0191,0201,1
011,12,032,043,701.0,061,073,4.0,094,0101,2.0,0121,40.0,0143,0152,1.0,0172,1,0191,0201,1
012,12,032,045,639.0,061,073,4.0,093,0101,2.0,0123,30.0,0143,0152,1.0,0173,1,0191,0201,2
012,12,034,041,1860.0,061,071,4.0,093,0101,2.0,0123,34.0,0143,0152,2.0,0174,1,0192,0201,1
011,12,034,040,3499.0,061,073,3.0,092,0102,2.0,0121,29.0,0143,0152,2.0,0173,1,0191,0201,2
012,48,032,040,8487.0,065,074,1.0,092,0101,2.0,0123,24.0,0143,0152,1.0,0173,1,0191,0201,1
011,36,033,046,6887.0,061,073,4.0,093,0101,3.0,0122,29.0,0142,0152,1.0,0173,1,0192,0201,2
014,15,032,042,2708.0,061,072,2.0,093,0101,3.0,0122,27.0,0141,0152,2.0,0172,1,0191,0201,1
014,18,032,042,1984.0,061,073,4.0,093,0101,4.0,0124,47.0,0141,0153,2.0,0173,1,0191,0201,1
014,60,032,043,10144.0,062,074,2.0,092,0101,4.0,0121,21.0,0143,0152,1.0,0173,1,0192,0201,1
014,12,034,043,1240.0,065,075,4.0,092,0101,2.0,0121,38.0,0143,0152,2.0,0173,1,0192,0201,1
014,27,033,041,8613.0,064,073,2.0,093,0101,2.0,0123,27.0,0143,0152,2.0,0173,1,0191,0201,1
012,12,032,043,766.0,063,073,4.0,093,0101,3.0,0121,66.0,0143,0152,1.0,0172,1,0191,0201,2
012,15,034,043,2728.0,065,074,4.0,093,0103,2.0,0121,35.0,0141,0152,3.0,0173,1,0192,0201,1
013,12,032,043,1881.0,061,073,2.0,092,0101,2.0,0123,44.0,0143,0151,1.0,0172,1,0192,0201,1
013,6,032,040,709.0,064,072,2.0,094,0101,2.0,0121,27.0,0143,0152,1.0,0171,1,0191,0202,1
012,36,032,043,4795.0,061,072,4.0,092,0101,1.0,0124,30.0,0143,0152,1.0,0174,1,0192,0201,1
011,27,032,043,3416.0,061,073,3.0,093,0101,2.0,0123,27.0,0143,0152,1.0,0174,1,0191,0201,1
011,18,032,042,2462.0,061,073,2.0,093,0101,2.0,0123,22.0,0143,0152,1.0,0173,1,0191,0201,2
014,21,034,042,2288.0,061,072,4.0,092,0101,4.0,0122,23.0,0143,0152,1.0,0173,1,0192,0201,1
012,48,031,049,3566.0,062,074,4.0,093,0101,2.0,0123,30.0,0143,0152,1.0,0173,1,0191,0201,1
011,6,034,040,860.0,061,075,1.0,092,0101,4.0,0124,39.0,0143,0152,2.0,0173,1,0192,0201,1
014,12,034,040,682.0,062,074,4.0,092,0101,3.0,0123,51.0,0143,0152,2.0,0173,1,0192,0201,1
011,36,034,042,5371.0,061,073,3.0,093,0103,2.0,0122,28.0,0143,0152,2.0,0173,1,0191,0201,1
014,18,034,043,1582.0,064,075,4.0,093,0101,4.0,0123,46.0,0143,0152,2.0,0173,1,0191,0201,1
014,6,032,043,1346.0,062,075,2.0,093,0101,4.0,0124,42.0,0141,0153,1.0,0173,2,0192,0201,1
014,10,032,043,1924.0,061,073,1.0,093,0101,4.0,0122,38.0,0143,0152,1.0,0173,1,0192,0202,1
013,36,032,043,5848.0,061,073,4.0,093,0101,1.0,0123,24.0,0143,0152,1.0,0173,1,0191,0201,1
012,24,034,041,7758.0,064,075,2.0,092,0101,4.0,0124,29.0,0143,0151,1.0,0173,1,0191,0201,1
012,24,033,049,6967.0,062,074,4.0,093,0101,4.0,0123,36.0,0143,0151,1.0,0174,1,0192,0201,1
011,12,032,042,1282.0,061,073,2.0,092,0101,4.0,0123,20.0,0143,0151,1.0,0173,1,0191,0201,2
011,9,034,045,1288.0,062,075,3.0,093,0103,4.0,0121,48.0,0143,0152,2.0,0173,2,0191,0202,1
011,12,031,048,339.0,061,075,4.0,094,0101,1.0,0123,45.0,0141,0152,1.0,0172,1,0191,0201,1
012,24,032,040,3512.0,062,074,2.0,093,0101,3.0,0123,38.0,0141,0152,2.0,0173,1,0192,0201,1
014,6,034,043,1898.0,065,073,1.0,093,0101,2.0,0121,34.0,0143,0152,2.0,0172,2,0191,0201,1
014,24,034,043,2872.0,062,075,3.0,093,0101,4.0,0121,36.0,0143,0152,1.0,0173,2,0192,0201,1
014,18,034,040,1055.0,061,072,4.0,092,0101,1.0,0122,30.0,0143,0152,2.0,0173,1,0191,0201,1
014,15,032,044,1262.0,063,074,4.0,093,0101,3.0,0122,36.0,0143,0152,2.0,0173,1,0192,0201,1
012,10,032,040,7308.0,061,071,2.0,093,0101,4.0,0124,70.0,0141,0153,1.0,0174,1,0192,0201,1
014,36,032,040,909.0,063,075,4.0,093,0101,4.0,0122,36.0,0143,0152,1.0,0173,1,0191,0201,1
014,6,032,042,2978.0,063,073,1.0,093,0101,2.0,0123,32.0,0143,0152,1.0,0173,1,0192,0201,1
011,18,032,042,1131.0,061,071,4.0,092,0101,2.0,0123,33.0,0143,0152,1.0,0173,1,0191,0201,2
012,11,032,042,1577.0,064,072,4.0,092,0101,1.0,0121,20.0,0143,0152,1.0,0173,1,0191,0201,1
014,24,032,042,3972.0,061,074,2.0,092,0101,4.0,0122,25.0,0143,0151,1.0,0173,1,0192,0201,1
012,24,034,049,1935.0,061,075,4.0,091,0101,4.0,0121,31.0,0143,0152,2.0,0173,1,0192,0201,2
011,15,030,040,950.0,061,075,4.0,093,0101,3.0,0123,33.0,0143,0151,2.0,0173,2,0191,0201,2
014,12,032,042,763.0,061,073,4.0,092,0101,1.0,0121,26.0,0143,0152,1.0,0173,1,0192,0201,1
012,24,033,042,2064.0,061,071,3.0,092,0101,2.0,0122,34.0,0143,0152,1.0,0174,1,0192,0201,2
012,8,032,043,1414.0,061,073,4.0,093,0103,2.0,0121,33.0,0143,0152,1.0,0173,1,0191,0202,1
011,21,033,046,3414.0,061,072,2.0,093,0101,1.0,0122,26.0,0143,0152,2.0,0173,1,0191,0201,2
014,30,031,041,7485.0,065,071,4.0,092,0101,1.0,0121,53.0,0141,0152,1.0,0174,1,0192,0201,2
011,12,032,042,2577.0,061,073,2.0,091,0101,1.0,0123,42.0,0143,0152,1.0,0173,1,0191,0201,1
011,6,034,043,338.0,063,075,4.0,093,0101,4.0,0123,52.0,0143,0152,2.0,0173,1,0191,0201,1
014,12,032,043,1963.0,061,074,4.0,093,0101,2.0,0123,31.0,0143,0151,2.0,0174,2,0192,0201,1
011,21,034,040,571.0,061,075,4.0,093,0101,4.0,0121,65.0,0143,0152,2.0,0173,1,0191,0201,1
014,36,033,049,9572.0,061,072,1.0,091,0101,1.0,0123,28.0,0143,0152,2.0,0173,1,0191,0201,2
012,36,033,049,4455.0,061,073,2.0,091,0101,2.0,0121,30.0,0142,0152,2.0,0174,1,0192,0201,2
011,21,031,040,1647.0,065,073,4.0,093,0101,2.0,0122,40.0,0143,0152,2.0,0172,2,0191,0201,2
014,24,034,042,3777.0,064,073,4.0,093,0101,4.0,0121,50.0,0143,0152,1.0,0173,1,0192,0201,1
012,18,034,040,884.0,061,075,4.0,093,0101,4.0,0123,36.0,0141,0152,1.0,0173,2,0192,0201,2
014,15,034,043,1360.0,061,073,4.0,093,0101,2.0,0122,31.0,0143,0152,2.0,0173,1,0191,0201,1
012,9,031,041,5129.0,061,075,2.0,092,0101,4.0,0124,74.0,0141,0153,1.0,0174,2,0192,0201,2
012,16,034,040,1175.0,061,071,2.0,093,0101,3.0,0123,68.0,0143,0153,3.0,0171,1,0192,0201,1
011,12,032,043,674.0,062,074,4.0,094,0101,1.0,0122,20.0,0143,0152,1.0,0173,1,0191,0201,2
012,18,030,042,3244.0,061,073,1.0,092,0101,4.0,0123,33.0,0141,0152,2.0,0173,1,0192,0201,1
014,24,032,049,4591.0,064,073,2.0,093,0101,3.0,0122,54.0,0143,0152,3.0,0174,1,0192,0201,2
012,48,030,049,3844.0,062,074,4.0,093,0101,4.0,0124,34.0,0143,0153,1.0,0172,2,0191,0201,2
012,27,032,049,3915.0,061,073,4.0,093,0101,2.0,0123,36.0,0143,0152,1.0,0173,2,0192,0201,2
014,6,032,043,2108.0,061,074,2.0,094,0101,2.0,0121,29.0,0143,0151,1.0,0173,1,0191,0201,1
012,45,032,043,3031.0,062,073,4.0,093,0103,4.0,0122,21.0,0143,0151,1.0,0173,1,0191,0201,2
012,9,034,046,1501.0,061,075,2.0,092,0101,3.0,0123,34.0,0143,0152,2.0,0174,1,0192,0201,2
014,6,034,043,1382.0,061,073,1.0,092,0101,1.0,0123,28.0,0143,0152,2.0,0173,1,0192,0201,1
012,12,032,042,951.0,062,072,4.0,092,0101,4.0,0123,27.0,0141,0151,4.0,0173,1,0191,0201,2
012,24,032,041,2760.0,065,075,4.0,093,0101,4.0,0124,36.0,0141,0153,1.0,0173,1,0192,0201,1
012,18,033,042,4297.0,061,075,4.0,091,0101,3.0,0124,40.0,0143,0152,1.0,0174,1,0192,0201,2
014,9,034,046,936.0,063,075,4.0,093,0101,2.0,0123,52.0,0143,0152,2.0,0173,1,0192,0201,1
011,12,032,040,1168.0,061,073,4.0,094,0101,3.0,0121,27.0,0143,0152,1.0,0172,1,0191,0201,1
014,27,033,049,5117.0,061,074,3.0,093,0101,4.0,0123,26.0,0143,0152,2.0,0173,1,0191,0201,1
011,12,032,048,902.0,061,074,4.0,094,0101,4.0,0122,21.0,0143,0151,1.0,0173,1,0191,0201,2
014,12,034,040,1495.0,061,075,4.0,093,0101,1.0,0121,38.0,0143,0152,2.0,0172,2,0191,0201,1
011,30,034,041,10623.0,061,075,3.0,093,0101,4.0,0124,38.0,0143,0153,3.0,0174,2,0192,0201,1
014,12,034,042,1935.0,061,075,4.0,093,0101,4.0,0121,43.0,0143,0152,3.0,0173,1,0192,0201,1
012,12,034,044,1424.0,061,074,4.0,093,0101,3.0,0122,26.0,0143,0152,1.0,0173,1,0191,0201,1
011,24,032,049,6568.0,061,073,2.0,094,0101,2.0,0123,21.0,0142,0152,1.0,0172,1,0191,0201,1
014,12,032,041,1413.0,064,074,3.0,093,0101,2.0,0122,55.0,0143,0152,1.0,0173,1,0191,0202,1
014,9,034,043,3074.0,065,073,1.0,093,0101,2.0,0121,33.0,0143,0152,2.0,0173,2,0191,0201,1
014,36,032,043,3835.0,065,075,2.0,092,0101,4.0,0121,45.0,0143,0152,1.0,0172,1,0192,0201,1
011,27,030,049,5293.0,061,071,2.0,093,0101,4.0,0122,50.0,0142,0152,2.0,0173,1,0192,0201,2
013,30,033,049,1908.0,061,075,4.0,093,0101,4.0,0121,66.0,0143,0152,1.0,0174,1,0192,0201,2
014,36,034,043,3342.0,065,075,4.0,093,0101,2.0,0123,51.0,0143,0152,1.0,0173,1,0192,0201,1
012,6,034,048,932.0,065,074,1.0,092,0101,3.0,0122,39.0,0143,0152,2.0,0172,1,0191,0201,1
011,18,030,049,3104.0,061,074,3.0,093,0101,1.0,0122,31.0,0141,0152,1.0,0173,1,0192,0201,1
013,36,032,043,3913.0,061,073,2.0,093,0101,2.0,0121,23.0,0143,0152,1.0,0173,1,0192,0201,1
011,24,032,042,3021.0,061,073,2.0,091,0101,2.0,0121,24.0,0143,0151,1.0,0172,1,0191,0201,1
014,10,032,040,1364.0,061,073,2.0,092,0101,4.0,0123,64.0,0143,0152,1.0,0173,1,0192,0201,1
012,12,032,043,625.0,061,072,4.0,094,0103,1.0,0121,26.0,0141,0152,1.0,0172,1,0191,0201,1
011,12,032,046,1200.0,065,073,4.0,092,0101,4.0,0122,23.0,0141,0151,1.0,0173,1,0192,0201,1
014,12,032,043,707.0,061,073,4.0,093,0101,2.0,0121,30.0,0141,0152,2.0,0173,1,0191,0201,1
014,24,033,049,2978.0,065,073,4.0,093,0101,4.0,0121,32.0,0143,0152,2.0,0173,2,0192,0201,1
014,15,032,041,4657.0,061,073,3.0,093,0101,2.0,0123,30.0,0143,0152,1.0,0173,1,0192,0201,1
014,36,030,045,2613.0,061,073,4.0,093,0101,2.0,0123,27.0,0143,0152,2.0,0173,1,0191,0201,1
012,48,032,043,10961.0,064,074,1.0,093,0102,2.0,0124,27.0,0141,0152,2.0,0173,1,0192,0201,2
011,12,032,042,7865.0,061,075,4.0,093,0101,4.0,0124,53.0,0143,0153,1.0,0174,1,0192,0201,2
014,9,032,043,1478.0,061,074,4.0,093,0101,2.0,0123,22.0,0143,0152,1.0,0173,1,0191,0201,2
011,24,032,042,3149.0,061,072,4.0,093,0101,1.0,0124,22.0,0141,0153,1.0,0173,1,0191,0201,1
